Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;10.04.1997;0,7;7;0;14
Oslo - Blindern;SN18700;06.04.1998;10,3;3,3;0;8,3
Oslo - Blindern;SN18700;07.04.1998;1,8;7,3;0;5,8
Oslo - Blindern;SN18700;08.04.1998;0;7,3;0;5,3
Oslo - Blindern;SN18700;09.04.1998;0;8;0,1;3,7
Oslo - Blindern;SN18700;10.04.1998;0,7;7,7;9,8;3,7
Oslo - Blindern;SN18700;06.04.1999;0;8;4,2;6,9
Oslo - Blindern;SN18700;07.04.1999;0;7,7;9,9;8
Oslo - Blindern;SN18700;08.04.1999;7;5,3;0,5;13,4
Oslo - Blindern;SN18700;09.04.1999;4;5,7;0,2;16,8
Oslo - Blindern;SN18700;10.04.1999;1,7;6,7;0;14,4
Oslo - Blindern;SN18700;06.04.2000;5,4;5,3;0;8,4
Oslo - Blindern;SN18700;07.04.2000;9,7;4;0;10,1
Oslo - Blindern;SN18700;08.04.2000;0;6,7;0;8,1
Oslo - Blindern;SN18700;09.04.2000;9,9;1,7;0;11
Oslo - Blindern;SN18700;10.04.2000;10,1;4,3;0;11,6
Oslo - Blindern;SN18700;06.04.2001;4,3;5,7;1,9;6,8
Oslo - Blindern;SN18700;07.04.2001;0;8;2;4,5
Oslo - Blindern;SN18700;08.04.2001;0,4;7,7;1,6;6,6
Oslo - Blindern;SN18700;09.04.2001;10,9;3;4;11,3
Oslo - Blindern;SN18700;10.04.2001;8,8;5,7;0;10,2
Oslo - Blindern;SN18700;06.04.2002;6,9;4,7;0;13,5
Oslo - Blindern;SN18700;07.04.2002;4,7;5,7;0;11,5
Oslo - Blindern;SN18700;08.04.2002;2,4;7;0;9,6
Oslo - Blindern;SN18700;09.04.2002;6,4;4,7;0,9;10
Oslo - Blindern;SN18700;10.04.2002;10,7;5,3;0;10,9
Oslo - Blindern;SN18700;06.04.2003;11,3;2,7;0;5,1
Oslo - Blindern;SN18700;07.04.2003;12,1;1;0;6,4
Oslo - Blindern;SN18700;08.04.2003;12,1;2;0;7,3
