Navn;Stasjon;Tid(norsk normaltid);Solskinnstid (døgn);Gjennomsnittlig skydekke (døgn);Nedbør (døgn);Maksimumstemperatur (døgn)
Oslo - Blindern;SN18700;14.03.1984;8,7;1,3;0;5,6
Oslo - Blindern;SN18700;15.03.1984;0;7;0;1,8
Oslo - Blindern;SN18700;16.03.1984;9,9;2,3;0;3,3
Oslo - Blindern;SN18700;17.03.1984;9,5;0,3;0;2,1
Oslo - Blindern;SN18700;18.03.1984;9,8;0,3;0;1,7
Oslo - Blindern;SN18700;19.03.1984;0,9;6;0;-0,5
Oslo - Blindern;SN18700;01.03.1985;0;7,7;5,2;0,2
Oslo - Blindern;SN18700;02.03.1985;0;6,7;2,7;-1,9
Oslo - Blindern;SN18700;03.03.1985;0;8;3,1;-3,8
Oslo - Blindern;SN18700;04.03.1985;0;8;4,7;-2,6
Oslo - Blindern;SN18700;05.03.1985;0;8;6,4;-1,4
Oslo - Blindern;SN18700;06.03.1985;0;8;10,6;0,9
Oslo - Blindern;SN18700;07.03.1985;0,1;7,7;0,1;2,3
Oslo - Blindern;SN18700;08.03.1985;0;8;0;1,1
Oslo - Blindern;SN18700;09.03.1985;0;8;0;0,3
Oslo - Blindern;SN18700;10.03.1985;0;7,7;1,1;1
Oslo - Blindern;SN18700;11.03.1985;9,3;2,7;9,1;5,4
Oslo - Blindern;SN18700;12.03.1985;0;7;0;5,4
Oslo - Blindern;SN18700;13.03.1985;5,3;3;0;7,5
Oslo - Blindern;SN18700;14.03.1985;10;1,3;0;6,3
Oslo - Blindern;SN18700;15.03.1985;1;6,3;0;2,7
Oslo - Blindern;SN18700;16.03.1985;9,6;1;0;2,8
Oslo - Blindern;SN18700;17.03.1985;10,3;1,7;0;3,1
Oslo - Blindern;SN18700;18.03.1985;10,5;1;0;2,3
Oslo - Blindern;SN18700;19.03.1985;10;2,3;0;2,2
Oslo - Blindern;SN18700;01.03.1986;0,4;4;0;-1
Oslo - Blindern;SN18700;02.03.1986;6,2;2,7;0;2,2
Oslo - Blindern;SN18700;03.03.1986;2,1;5,7;0;4,5
Oslo - Blindern;SN18700;04.03.1986;0;8;0;2,2
Oslo - Blindern;SN18700;05.03.1986;0;8;12,5;0,3
Oslo - Blindern;SN18700;06.03.1986;1,5;7;0,8;4,9
Oslo - Blindern;SN18700;07.03.1986;6,4;5;0;5,1
Oslo - Blindern;SN18700;08.03.1986;8,9;2,7;0;8,1
Oslo - Blindern;SN18700;09.03.1986;0;7,3;0;2,9
Oslo - Blindern;SN18700;10.03.1986;0;7,7;0;2,7
